Directory,Average CER
103,0.0000738000
1034,0.0000605000
1040,0.0000641000
1069,0.0000871000
1081,0.0002296260
1088,0.0001356740
1098,0.0000524000
1116,0.0001139320
118,0.0001536890
1183,0.0007134520
1235,0.0001327560
1246,0.0001344270
125,0.0001542880
1263,0.0001284420
1334,0.0001406270
1355,0.0000410000
1363,0.0001151400
1447,0.0003656240
1455,0.0000829000
150,0.0002321600
1502,0.0001601880
1553,0.0000918000
1578,0.0001118740
1594,0.0000372000
1624,0.0002805220
163,0.0003531010
1723,0.0000364000
1737,0.0002232820
1743,0.0001351340
1841,0.0001258690
1867,0.0001198720
1898,0.0004161480
19,0.0001001100
1926,0.0001739050
196,0.0004454320
1963,0.0001385380
1970,0.0002573600
198,0.0005522510
1992,0.0000826000
200,0.0003913870
2002,0.0000494000
2007,0.0002823970
201,0.0000776000
2092,0.0001478070
211,0.0001934990
2136,0.0001270900
2159,0.0001288580
2182,0.0001204380
2196,0.0001339300
226,0.0001289680
2289,0.0001670370
229,0.0004103650
233,0.0000916000
2384,0.0000479000
2391,0.0001109180
2416,0.0002085140
2436,0.0001317790
248,0.0001256240
250,0.0001697790
2514,0.0000402000
2518,0.0000815000
254,0.0002049750
26,0.0001423810
2691,0.0001220610
27,0.0001073230
2764,0.0001100920
2817,0.0000916000
2836,0.0000807000
2843,0.0000426000
289,0.0001065630
2893,0.0000838000
2910,0.0000448000
2911,0.0004630400
2952,0.0001232860
298,0.0001903140
2989,0.0000710000
302,0.0001330650
307,0.0001291620
311,0.0000397000
3112,0.0001284530
3168,0.0002774240
32,0.0002147240
3214,0.0001958210
322,0.0001141480
3235,0.0001511640
3240,0.0000893000
3242,0.0001108650
3259,0.0000397000
328,0.0000489000
332,0.0000510000
3374,0.0001432960
3436,0.0000834000
3440,0.0000971000
3486,0.0000882000
3526,0.0001450860
3607,0.0006162480
3664,0.0001103030
3699,0.0005878350
3723,0.0000885000
374,0.0000888000
3807,0.0000878000
3830,0.0003630330
3857,0.0001287940
3879,0.0006210490
39,0.0001383910
3947,0.0000874000
3982,0.0006981460
3983,0.0004133280
40,0.0001965890
4014,0.0001385490
4018,0.0001225040
403,0.0001448730
405,0.0003264820
4051,0.0001242290
4088,0.0001235760
412,0.0000556000
4137,0.0015692940
4160,0.0001037950
4195,0.0001499790
4214,0.0000518000
426,0.0001081840
4267,0.0001364990
4297,0.0000809000
4340,0.0000483000
4362,0.0000396000
4397,0.0002849860
4406,0.0002014620
441,0.0001131200
4441,0.0002759520
445,0.0002261730
446,0.0000904000
4481,0.0002182310
458,0.0001825070
460,0.0000940000
4640,0.0004151450
4680,0.0002234340
4788,0.0001187290
481,0.0000929000
4813,0.0000820000
4830,0.0000939000
4853,0.0001292900
4859,0.0001368100
4898,0.0000939000
5022,0.0000850000
5049,0.0000449000
5104,0.0000882000
5163,0.0000884000
5192,0.0001480030
5322,0.0001259900
5339,0.0003524130
5390,0.0001342490
5393,0.0001635700
5456,0.0003106240
5463,0.0001477970
5514,0.0001129870
5561,0.0001090310
5652,0.0001814640
5678,0.0001912730
5688,0.0000799000
5703,0.0000771000
5750,0.0001179600
5778,0.0000931000
5789,0.0001339440
5808,0.0000891000
5867,0.0000431000
587,0.0002029760
60,0.0000625000
6000,0.0002432600
6019,0.0001209530
6064,0.0001306310
6078,0.0001749270
6081,0.0005546430
6147,0.0001122710
6181,0.0000497000
6209,0.0001384770
625,0.0000982000
6272,0.0001273770
6367,0.0000941000
6385,0.0001321560
6415,0.0001955390
6437,0.0000829000
6454,0.0001352390
6476,0.0006945160
6529,0.0000767000
6531,0.0001375260
6563,0.0000934000
669,0.0001359190
6818,0.0002322720
6836,0.0003781980
6848,0.0001295680
6880,0.0000484000
6925,0.0000524000
696,0.0003796860
7059,0.0006101910
7067,0.0000809000
7078,0.0006815180
7113,0.0000437000
7148,0.0001368280
7178,0.0002569380
7190,0.0000807000
7226,0.0000807000
7264,0.0001170400
7278,0.0001297860
730,0.0001203770
7302,0.0003674450
7312,0.0001671120
7367,0.0003069720
7402,0.0002999650
7447,0.0002158530
7505,0.0001558930
7511,0.0000811000
7517,0.0001606410
7635,0.0000745000
7780,0.0000508000
7794,0.0001289070
78,0.0000990000
7800,0.0001116760
7859,0.0001647360
8014,0.0003644830
8051,0.0001294260
8063,0.0006027710
8088,0.0000383000
8095,0.0001526780
8098,0.0001315440
8108,0.0001372090
8123,0.0002853780
8226,0.0000863000
8238,0.0001704470
83,0.0002358300
831,0.0002016490
8312,0.0000906000
8324,0.0001418110
839,0.0000642000
8419,0.0002931260
8425,0.0001786390
8465,0.0001661960
8468,0.0001118560
8580,0.0001071200
8609,0.0000781000
8629,0.0000858000
8630,0.0001006490
87,0.0001156520
8747,0.0001942120
8770,0.0003352680
8797,0.0000443000
8838,0.0000769000
887,0.0001279410
89,0.0000727000
8975,0.0000390000
909,0.0001187440
911,0.0001604420
CER,0.0001720000
